Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Capital Use Type,Guideway,Guideway Questionable,Stations,Stations Questionable,Administrative Buildings,Administrative Buildings Questionable,Maintenance Buildings,Maintenance Buildings Questionable,Passenger Vehicles,Passenger Vehicles Questionable,Other Vehicles,Other Vehicles Questionable,Fare Collection Equipment,Fare Collection Equipment Questionable,Communication & Information Systems,Communication & Information Systems Questionable,Other,Other Questionable,Reduced Reporter Expenses,Reduced Reporter Questionable,Total,Total Questionable
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",MB,Bus,DO,450,Uses of Capital (F-20) - Expansion of Service,"169,688",,"24,592,791",,0,,0,,0,,0,,0,,0,,0,,0,,"24,762,479",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",RB,Bus Rapid Transit,DO,8,Uses of Capital (F-20) - Expansion of Service,"162,835",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"162,835",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",DR,Demand Response,PT,336,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"4,077,301",,"525,695",,0,,0,,0,,0,,"4,602,996",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",LR,Light Rail,DO,46,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"2,714,735",,0,,0,,"3,830,791",,"13,297,749",,0,,0,,"62,459",,0,,0,,"19,905,734",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",MB,Bus,DO,450,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"234,721",,"6,553,515",,"60,738",,"5,271,684",,"7,880,098",,"447,616",,"32,250",,"18,674,379",,0,,0,,"39,155,001",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",CB,Commuter Bus,DO,104,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"2,813,025",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"2,813,025",
"Metropolitan Transit Authority of Harris County, Texas",Houston,TX,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,40429,"Houston, TX","5,853,575","1,328",LR,Light Rail,DO,46,Uses of Capital (F-20) - Expansion of Service,"2,972,722",,"4,925,397",,0,,"112,876",,"9,372,328",,0,,0,,0,,0,,0,,"17,383,323",
"Metro-North Commuter Railroad Company, dba: MTA Metro-North Railroad",New York,NY,20078,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,149",CR,Commuter Rail,DO,"1,138",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"134,120,384",,"398,014,024",,"284,052",,"156,812,550",,"52,512,537",,"8,577,427",,"3,804,891",,"75,641,530",,"6,856,676",,0,,"836,624,071",
MTA Bus Company,New York,NY,20188,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","1,134",MB,Bus,DO,"1,134",Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,"4,996,096",,"15,602,208",,"85,729,184",,0,,0,,"9,480,696",,0,,0,,"115,808,184",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",DR,Demand Response,PT,87,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,"142,283",,0,,0,,0,,0,,0,,"142,283",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",LR,Light Rail,DO,81,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"2,577,704",,0,,"397,380",,"518,856",,"219,920",,"102,925",,0,,"764,621",,0,,0,,"4,581,406",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",MB,Bus,DO,300,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"1,517,683",,"962,009",,"491,211",,"528,113",,"25,526,375",,"137,234",,0,,"9,835,722",,0,,0,,"38,998,347",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",DR,Demand Response,DO,52,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,156,878",,"34,308",,0,,"249,430",,0,,0,,"1,440,616",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",LR,Light Rail,DO,81,Uses of Capital (F-20) - Expansion of Service,"103,692",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"103,692",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",MB,Bus,DO,300,Uses of Capital (F-20) - Expansion of Service,"112,920",,0,,"61,390",,"27,439,577",,0,,0,,0,,0,,0,,0,,"27,613,887",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",CR,Commuter Rail,DO,45,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"14,144,184",,"152,093",,"198,690",,"1,398,557",,"7,485",,"68,617",,0,,0,,0,,0,,"15,969,626",
Utah Transit Authority,Salt Lake City,UT,80001,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78499,"Salt Lake City, UT","1,178,533","1,063",VP,Vanpool,DO,425,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"2,563,498",,0,,0,,0,,0,,0,,"2,563,498",
City of Guadalupe,Guadalupe,CA,91043,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,3,MB,Bus,PT,2,Reduced Reporting,0,,0,,0,,0,,0,,0,,0,,0,,0,,"4,441",,"4,441",
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,PT,202,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"8,418,594",,0,,0,,0,,0,,0,,"8,418,594",
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",VP,Vanpool,DO,267,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"1,445,714",,0,,0,,0,,0,,0,,"1,445,714",
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",DR,Demand Response,DO,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"328,774",,0,,0,,0,,0,,0,,"328,774",
Pace - Suburban Bus Division,Arlington Heights,IL,50113,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746","1,012",MB,Bus,DO,478,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"127,502",,"47,193",,"54,955,825",,"13,731,251",,0,,"72,939",,"5,786,227",,"3,586,959",,0,,"78,307,896",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,CR,Commuter Rail,PT,36,Uses of Capital (F-20) - Expansion of Service,"1,665,998",,"419,752",,0,,0,,0,,0,,0,,"24,975",,0,,0,,"2,110,725",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,LR,Light Rail,DO,111,Uses of Capital (F-20) - Expansion of Service,"528,939",,"516,986",,0,,0,,0,,0,,0,,0,,0,,0,,"1,045,925",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,MB,Bus,DO,286,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"2,591,005",,"263,862",,"22,509",,"933,097",,"54,917",,0,,"1,283,882",,"973,988",,"523,917",,0,,"6,647,177",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,CR,Commuter Rail,DO,8,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"263,130",,"7,243,797",,0,,0,,0,,0,,0,,0,,0,,0,,"7,506,927",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,DR,Demand Response,PT,277,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,0,,"149,914",,0,,0,,"845,950",,0,,0,,"995,864",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,LR,Light Rail,DO,111,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"2,356,251",,0,,0,,0,,0,,"41,427",,"1,001,418",,"550,936",,"96,814",,0,,"4,046,846",
Denver Regional Transportation District,Denver,CO,80006,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,23527,"Denver--Aurora, CO","2,686,147",931,CR,Commuter Rail,DO,8,Uses of Capital (F-20) - Expansion of Service,"982,570",,"1,188,731",,"70,987",,"27,505",,0,,0,,0,,"637,761",,"31,528",,0,,"2,939,082",
MTA Long Island Rail Road,Jamaica,NY,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,CR,Commuter Rail,DO,908,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"210,860,542",,"283,308,725",,"1,248,758",,"28,279,830",,"67,211,391",,"216,960",,0,,"64,868,301",,"3,016,203",,0,,"659,010,710",
MTA Long Island Rail Road,Jamaica,NY,20100,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449",908,CR,Commuter Rail,DO,908,Uses of Capital (F-20) - Expansion of Service,"454,772,429",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"454,772,429",
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",889,CR,Commuter Rail,PT,456,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"11,844,020",,"4,135,785",,0,,"1,815,555",,0,,0,,0,,0,,"82,426",,0,,"17,877,786",
"Northeast Illinois Regional Commuter Railroad Corporation, dba: Metra",Chicago,IL,50118,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,16264,"Chicago, IL--IN","8,671,746",889,CR,Commuter Rail,DO,433,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"71,562,865",,"24,378,383",,"1,191,036",,"14,505,584",,"119,141,014",,"4,639,116",,0,,"13,749,260",,"3,094,979",,0,,"252,262,237",
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,RB,Bus Rapid Transit,DO,,Uses of Capital (F-20) - Expansion of Service,"219,687",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"219,687",
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,DR,Demand Response,DO,95,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"14,426,207",,0,,0,,0,,0,,0,,0,,"14,426,207",
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,MB,Bus,DO,498,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"1,073,170",,"8,100",,"1,631,235",,"17,338,825",,"892,867",,"1,188,640",,"1,077,427",,"391,099",,0,,"23,601,363",
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,VP,Vanpool,PT,127,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,"437,319",,0,,"437,319",
VIA Metropolitan Transit,San Antonio,TX,60011,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,78580,"San Antonio, TX","1,992,689",873,MB,Bus,DO,498,Uses of Capital (F-20) - Expansion of Service,0,,0,,0,,0,,0,,0,,0,,0,,"87,554",,0,,"87,554",
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,MB,Bus,DO,561,Uses of Capital (F-20) - Expansion of Service,"1,066,618",,"93,192",,0,,0,,0,,0,,0,,0,,0,,0,,"1,159,810",
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,IP,Inclined Plane,DO,2,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"323,263",,0,,0,,0,,0,,0,,0,,0,,0,,"323,263",
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,LR,Light Rail,DO,52,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"7,588,433",,"1,485,131",,0,,"9,879,295",,"1,198,003",,0,,0,,"1,715,827",,0,,0,,"21,866,689",
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,MB,Bus,DO,561,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"8,652,518",,"6,138,692",,"605,204",,"5,820,885",,"28,193,392",,"1,549,281",,"133,281",,"2,599,150",,0,,0,,"53,692,403",
Port Authority of Allegheny County,Pittsburgh,PA,30022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,69697,"Pittsburgh, PA","1,745,039",823,LR,Light Rail,DO,52,Uses of Capital (F-20) - Expansion of Service,"6,072,953",,0,,0,,0,,0,,0,,0,,0,,0,,0,,"6,072,953",
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,MB,Bus,DO,407,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"4,108,810",,"804,312",,"867,822",,"33,164,391",,"13,422,773",,0,,0,,"3,350,807",,"3,640,540",,0,,"59,359,455",
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,HR,Heavy Rail,DO,210,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"40,084,625",,"49,614,165",,"19,693",,"1,159,035",,"100,674,730",,0,,0,,"18,153,180",,0,,0,,"209,705,428",
Metropolitan Atlanta Rapid Transit Authority,Atlanta,GA,40022,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,3817,"Atlanta, GA","5,100,112",812,SR,Streetcar Rail,DO,2,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,0,,0,,"152,716",,0,,0,,0,,0,,0,,0,,"152,716",
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,LR,Light Rail,DO,89,Uses of Capital (F-20) - Expansion of Service,"843,370",,"15,352,817",,0,,0,,0,,0,,0,,0,,0,,0,,"16,196,187",
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,MB,Bus,DO,453,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,0,,"591,172",,"1,140,500",,"537,293",,"2,379,978",,"1,194,251",,"2,865,526",,"12,854,613",,0,,0,,"21,563,333",
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,CR,Commuter Rail,PT,23,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"8,514,690",,0,,0,,"208,369",,"120,194",,0,,0,,"434,731",,0,,0,,"9,277,984",
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,LR,Light Rail,DO,89,Uses of Capital (F-20) - Rehabilitation / Reconstruction / Replacement / Improvement for Existing Service,"200,339",,"85,470",,0,,"94,499",,"650,562",,0,,0,,"461,279",,0,,0,,"1,492,149",
Dallas Area Rapid Transit,Dallas,TX,60056,Independent Public Agency or Authority of Transit Service,Full Reporter,2022,22042,"Dallas--Fort Worth--Arlington, TX","5,732,354",800,CR,Commuter Rail,PT,23,Uses of Capital (F-20) - Expansion of Service,"226,767,970",,0,,0,,"1,239,208",,"24,484,967",,0,,0,,0,,0,,0,,"252,492,145",
